"product_key","product_id","product_name","product_cost","product_line","category_id","category","sub_category","product_serial","product_start_date","product_end_date","maintenance"
"1","210","HL Road Frame - Black- 58",0,"Road","CO_RF","Components","Road Frames","FR-R92B-58","2003-07-01","","Yes"
"2","211","HL Road Frame - Red- 58",0,"Road","CO_RF","Components","Road Frames","FR-R92R-58","2003-07-01","","Yes"
"3","212","Sport-100 Helmet- Red",12,"other Sales","AC_HE","Accessories","Helmets","HL-U509-R","2011-07-01","2012-06-30","Yes"
"4","213","Sport-100 Helmet- Red",14,"other Sales","AC_HE","Accessories","Helmets","HL-U509-R","2012-07-01","2013-06-30","Yes"
"5","214","Sport-100 Helmet- Red",13,"other Sales","AC_HE","Accessories","Helmets","HL-U509-R","2013-07-01","","Yes"
"6","215","Sport-100 Helmet- Black",12,"other Sales","AC_HE","Accessories","Helmets","HL-U509","2011-07-01","2012-06-30","Yes"
"7","216","Sport-100 Helmet- Black",14,"other Sales","AC_HE","Accessories","Helmets","HL-U509","2012-07-01","2013-06-30","Yes"
"8","217","Sport-100 Helmet- Black",13,"other Sales","AC_HE","Accessories","Helmets","HL-U509","2013-07-01","","Yes"
"9","218","Mountain Bike Socks- M",3,"Mountain","CL_SO","Clothing","Socks","SO-B909-M","2011-07-01","","No"
"10","219","Mountain Bike Socks- L",3,"Mountain","CL_SO","Clothing","Socks","SO-B909-L","2011-07-01","","No"
"11","220","Sport-100 Helmet- Blue",12,"other Sales","AC_HE","Accessories","Helmets","HL-U509-B","2011-07-01","2012-06-30","Yes"
"12","221","Sport-100 Helmet- Blue",14,"other Sales","AC_HE","Accessories","Helmets","HL-U509-B","2012-07-01","2013-06-30","Yes"
"13","222","Sport-100 Helmet- Blue",13,"other Sales","AC_HE","Accessories","Helmets","HL-U509-B","2013-07-01","","Yes"
"14","223","AWC Logo Cap",6,"other Sales","CL_CA","Clothing","Caps","CA-1098","2011-07-01","2012-06-30","No"
"15","224","AWC Logo Cap",5,"other Sales","CL_CA","Clothing","Caps","CA-1098","2012-07-01","2013-06-30","No"
"16","225","AWC Logo Cap",7,"other Sales","CL_CA","Clothing","Caps","CA-1098","2013-07-01","","No"
"17","226","Long-Sleeve Logo Jersey- S",32,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-S","2011-07-01","2012-06-30","No"
"18","227","Long-Sleeve Logo Jersey- S",29,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-S","2012-07-01","2013-06-30","No"
"19","228","Long-Sleeve Logo Jersey- S",38,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-S","2013-07-01","","No"
"20","229","Long-Sleeve Logo Jersey- M",32,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-M","2011-07-01","2012-06-30","No"
"21","230","Long-Sleeve Logo Jersey- M",29,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-M","2012-07-01","2013-06-30","No"
"22","231","Long-Sleeve Logo Jersey- M",38,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-M","2013-07-01","","No"
"23","232","Long-Sleeve Logo Jersey- L",32,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-L","2011-07-01","2012-06-30","No"
"24","233","Long-Sleeve Logo Jersey- L",29,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-L","2012-07-01","2013-06-30","No"
"25","234","Long-Sleeve Logo Jersey- L",38,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-L","2013-07-01","","No"
"26","235","Long-Sleeve Logo Jersey- XL",32,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-X","2011-07-01","2012-06-30","No"
"27","236","Long-Sleeve Logo Jersey- XL",29,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-X","2012-07-01","2013-06-30","No"
"28","237","Long-Sleeve Logo Jersey- XL",38,"other Sales","CL_JE","Clothing","Jerseys","LJ-0192-X","2013-07-01","","No"
"29","238","HL Road Frame - Red- 62",748,"Road","CO_RF","Components","Road Frames","FR-R92R-62","2011-07-01","2012-06-30","Yes"
"30","239","HL Road Frame - Red- 62",722,"Road","CO_RF","Components","Road Frames","FR-R92R-62","2012-07-01","2013-06-30","Yes"
"31","240","HL Road Frame - Red- 62",869,"Road","CO_RF","Components","Road Frames","FR-R92R-62","2013-07-01","","Yes"
"32","241","HL Road Frame - Red- 44",748,"Road","CO_RF","Components","Road Frames","FR-R92R-44","2011-07-01","2012-06-30","Yes"
"33","242","HL Road Frame - Red- 44",722,"Road","CO_RF","Components","Road Frames","FR-R92R-44","2012-07-01","2013-06-30","Yes"
"34","243","HL Road Frame - Red- 44",869,"Road","CO_RF","Components","Road Frames","FR-R92R-44","2013-07-01","","Yes"
"35","244","HL Road Frame - Red- 48",748,"Road","CO_RF","Components","Road Frames","FR-R92R-48","2011-07-01","2012-06-30","Yes"
"36","245","HL Road Frame - Red- 48",722,"Road","CO_RF","Components","Road Frames","FR-R92R-48","2012-07-01","2013-06-30","Yes"
"37","246","HL Road Frame - Red- 48",869,"Road","CO_RF","Components","Road Frames","FR-R92R-48","2013-07-01","","Yes"
"38","247","HL Road Frame - Red- 52",748,"Road","CO_RF","Components","Road Frames","FR-R92R-52","2011-07-01","2012-06-30","Yes"
"39","248","HL Road Frame - Red- 52",722,"Road","CO_RF","Components","Road Frames","FR-R92R-52","2012-07-01","2013-06-30","Yes"
"40","249","HL Road Frame - Red- 52",869,"Road","CO_RF","Components","Road Frames","FR-R92R-52","2013-07-01","","Yes"
"41","250","HL Road Frame - Red- 56",748,"Road","CO_RF","Components","Road Frames","FR-R92R-56","2011-07-01","2012-06-30","Yes"
"42","251","HL Road Frame - Red- 56",722,"Road","CO_RF","Components","Road Frames","FR-R92R-56","2012-07-01","2013-06-30","Yes"
"43","252","HL Road Frame - Red- 56",869,"Road","CO_RF","Components","Road Frames","FR-R92R-56","2013-07-01","","Yes"
"44","253","LL Road Frame - Black- 58",176,"Road","CO_RF","Components","Road Frames","FR-R38B-58","2011-07-01","2012-06-30","Yes"
"45","254","LL Road Frame - Black- 58",170,"Road","CO_RF","Components","Road Frames","FR-R38B-58","2012-07-01","2013-06-30","Yes"
"46","255","LL Road Frame - Black- 58",205,"Road","CO_RF","Components","Road Frames","FR-R38B-58","2013-07-01","","Yes"
