"order_number","product_key","customer_key","order_date","shipping_date","due_date","total_sales","quantity","price"
"SO43697","101","10769","2010-12-29","2011-01-05","2011-01-10",3578,1,3578
"SO43698","137","17390","2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43699","137","14864","2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43700","128","3502","2010-12-29","2011-01-05","2011-01-10",699,1,699
"SO43700","127","3502","2010-12-29","2011-01-05","2011-01-10",699,1,699
"SO43701","137","4","2010-12-29","2011-01-05","2011-01-10",3400,1,3400
"SO43702","102","16646","2010-12-30","2011-01-06","2011-01-11",3578,1,3578
"SO43703","101","5625","2010-12-30","2011-01-06","2011-01-11",3578,1,3578
"SO43704","142","6","2010-12-30","2011-01-06","2011-01-11",3375,1,3375
"SO43705","135","12","2010-12-30","2011-01-06","2011-01-11",3400,1,3400
"SO43706","103","16622","2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43707","103","16617","2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43708","122","9043","2010-12-31","2011-01-07","2011-01-12",699,1,699
"SO43708","121","9043","2010-12-31","2011-01-07","2011-01-12",699,1,699
"SO43709","104","5352","2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43710","105","5518","2010-12-31","2011-01-07","2011-01-12",3578,1,3578
"SO43711","105","16607","2011-01-01","2011-01-08","2011-01-13",3578,1,3578
"SO43712","102","2514","2011-01-01","2011-01-08","2011-01-13",3578,1,3578
"SO43713","101","16602","2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43714","102","2592","2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43715","105","5484","2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43716","102","5530","2011-01-02","2011-01-09","2011-01-14",3578,1,3578
"SO43717","128","14250","2011-01-02","2011-01-09","2011-01-14",699,1,699
"SO43717","127","14250","2011-01-02","2011-01-09","2011-01-14",699,1,699
"SO43718","102","16669","2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43719","103","16613","2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43720","102","2265","2011-01-03","2011-01-10","2011-01-15",3578,1,3578
"SO43721","101","2591","2011-01-03","2011-01-10","2011-01-15",3578,1,3578
