"product_key","product_name","category","sub_category","product_cost","last_sale_date","recency_sale_date_months","product_segment","lifespan_months","total_orders","total_sales","total_quantities","total_customers","avg_selling_price","average_monthly_revenue"
"3","Sport-100 Helmet- Red","Accessories","Helmets",12,"2014-01-28","1","High-performer","13","2230","78050","2230","2147","35.00","35"
"4","Sport-100 Helmet- Red","Accessories","Helmets",14,"2014-01-28","1","High-performer","13","2230","78050","2230","2147","35.00","35"
"5","Sport-100 Helmet- Red","Accessories","Helmets",13,"2014-01-28","1","High-performer","13","2230","78050","2230","2147","35.00","35"
"6","Sport-100 Helmet- Black","Accessories","Helmets",12,"2014-01-28","1","High-performer","13","2085","72975","2085","2024","35.00","35"
"7","Sport-100 Helmet- Black","Accessories","Helmets",14,"2014-01-28","1","High-performer","13","2085","72975","2085","2024","35.00","35"
"8","Sport-100 Helmet- Black","Accessories","Helmets",13,"2014-01-28","1","High-performer","13","2085","72975","2085","2024","35.00","35"
"11","Sport-100 Helmet- Blue","Accessories","Helmets",12,"2014-01-28","1","High-performer","13","2124","74375","2125","2049","35.00","35"
"12","Sport-100 Helmet- Blue","Accessories","Helmets",14,"2014-01-28","1","High-performer","13","2124","74375","2125","2049","35.00","35"
"13","Sport-100 Helmet- Blue","Accessories","Helmets",13,"2014-01-28","1","High-performer","13","2124","74375","2125","2049","35.00","35"
"14","AWC Logo Cap","Clothing","Caps",6,"2014-01-28","1","Mid-performer","12","2190","19710","2190","2132","9.00","9"
"15","AWC Logo Cap","Clothing","Caps",5,"2014-01-28","1","Mid-performer","12","2190","19710","2190","2132","9.00","9"
"16","AWC Logo Cap","Clothing","Caps",7,"2014-01-28","1","Mid-performer","12","2190","19710","2190","2132","9.00","9"
"17","Long-Sleeve Logo Jersey- S","Clothing","Jerseys",32,"2014-01-28","1","Mid-performer","12","429","21450","429","426","50.00","50"
"18","Long-Sleeve Logo Jersey- S","Clothing","Jerseys",29,"2014-01-28","1","Mid-performer","12","429","21450","429","426","50.00","50"
